Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,10nF,
C2,C_0603_,1,100nF,C30926
C3,C_0805_,1,2.2uF,C19110
C4,C_0805_,1,10uF,C17024
C5,C_0603,1,100nF,
D1,MHS190RGBCT,1,LED_BARG,C409798
D2,D_1206_,1,Schottky,C143805
J1,PinHeader_1x05_P2.54mm_Right,1,1x5,C225491
L1,L_4x4_,1,6.8uH,C354575
Q3,SOT-323_SC-70,1,PMF250XNEX,C504047
R1,R_0603,1,300R,
R2,R_0603,1,1K,
"R3, R7",R_0603,2,100R,
R4,R_0603,1,10K,
R5,R_0603,1,100k 1%,C14675
R6,R_0603,1,30k 1%,C100001
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U2,SOT-23-Thin-6-Reg,1,LMR16006YDDCR,C290195
