Designator,Mid X,Mid Y,Rotation,Layer
C1,97.3,-48.65,90.0,bottom
C2,101.75,-41.75,-90.0,bottom
C3,100.5,-45.05,-90.0,bottom
C4,94.25,-45.05,-90.0,bottom
C5,95.3,-49.4,0.0,bottom
D1,104.7,-42.1,0.0,bottom
D2,97.37,-44.67,180.0,bottom
J1,99.8,-51.4,0.0,top
J2,99.8,-56.3,0.0,bottom
L1,95.75,-41.5,0.0,bottom
Q3,104.05,-48.4,0.0,bottom
R1,103.1,-44.6,-90.0,bottom
R2,104.35,-44.625,-90.0,bottom
R3,105.65,-44.6,-90.0,bottom
R4,95.3,-48.15,0.0,bottom
R5,104.8,-39.4,180.0,bottom
R6,102.325,-39.4,0.0,bottom
U1,99.8,-44.09325,0.0,top
U2,99.65,-41.5,-90.0,bottom
