Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_0402,3,100nF,
C10,C_0603_,1,100nF,
C5,C_0603,1,22uF,
C6,C_0402,1,1uF,
C8,C_0603_,1,10uF 35V,C194427
C9,C_0603_,1,10uF 6.3V,C1691
"D1, D4",SMD1010,2,XL-1010RGBC-WS2812B,C5349953
"D2, D3",DFN1006-2L,2,~,C5137770
"J1, J4",JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,2,1x5,C265103
L2,L_4x4_,1,10uH,
"Q1, Q2",SOT-363_SC-70-6,2,BSS138PS,C193381
"R1, R2, R3",R_0402,3,10k,
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
R9,R_0402_,1,124k,
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
