Designator,Mid X,Mid Y,Rotation,Layer
C10,46.0,36.4,0,top
C2,47.27,41.8,0,top
C5,47.27,43.0,0,top
C6,44.08,42.8,270,top
C8,48.5,35.7,90,top
C9,43.5,35.7,270,top
D1,44.0,21.0,225,top
D2,44.0,23.0,180,top
D3,44.0,49.0,180,top
D4,44.0,51.0,45,top
J1,35.0,26.7,180,top
J4,35.0,45.3,0,top
L2,46.0,39.0,0,top
Q1,44.0,26.0,180,top
Q2,44.0,46.0,180,top
R1,44.0,24.0,180,top
R10,44.2,32.52,180,top
R11,47.8,32.52,180,top
R2,44.0,48.0,0,top
R3,45.08,42.8,90,top
R9,46.0,32.5,0,top
U3,46.0,34.4,180,top
U4,35.0,36.0,90,top
