Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C4, C5, C7",C_0201,6,100nF,
C15,C_0805,1,47uF 6V,
"C16, C3",C_0402,2,100nF 25V,
C17,C_0805,1,22uF 25V,
C19,C_0201,1,18pF,
C6,C_0201,1,1uF,
D1,SMD1010,1,XL-1010RGBC-WS2812B,
"D2, D3",DFN1006-2L,2,~,
D4,D_0402,1,D,
J1,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,1,1x5,
L1,L_5x5,1,4.7uH,
Q1,SOT-363_SC-70-6,1,BSS138PS,
"R1, R2, R3",R_0201,3,10k,
"R5, R6",R_0201,2,150k 1%,
R8,R_0201,1,33k 1%,
"TP2, TP3, TP4, TP5, TP6, TP7, TP8",PAD-2mm,7,TestPoint,
U1,SOT-563,1,TPS562246,
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,
