Designator,Mid X,Mid Y,Rotation,Layer
C10,46.175,32.885,0.0,top
C2,47.625,39.15,0.0,top
C5,47.875,38.15,0.0,top
C6,44.075,43.0,180.0,top
C8,48.675,32.185,90.0,top
C9,43.675,32.185,270.0,top
D2,45.7075,39.22,90.0,top
J1,51.0,36.0,270.0,top
J2,31.825,36.0,270.0,bottom
J3,39.025,36.0,90.0,bottom
L2,46.175,35.485,0.0,top
PCB1,35.0,35.0,0.0,top
Q1,47.075,41.7875,90.0,top
R1,49.25,41.4,90.0,top
R10,44.375,29.0,180.0,top
R11,47.975,29.0,180.0,top
R12,43.9575,40.12,180.0,top
R3,47.625,40.05,0.0,top
R5,43.9575,39.22,180.0,top
R6,43.9575,38.32,180.0,top
R9,46.175,28.985,0.0,top
U3,46.175,30.885,180.0,top
U4,35.275,36.0,90.0,top
V1,34.9,44.0,0.0,bottom
V2,34.9,28.0,180.0,top
V3,35.0,54.0,0.0,top
V4,35.0,18.0,0.0,top
V5,12.5,35.0,90.0,top
V6,57.5,35.0,90.0,top
