Designator,Footprint,Quantity,Value,LCSC Part #
C10,C_0603_,1,100nF,
C2,C_0402,1,100nF,
"C3, C4",C_0402,2,33pF,
C5,C_0402,1,22uF,
C6,C_0402,1,1uF,
C8,C_0603_,1,10uF 50V,C1591
C9,C_0603_,1,10uF 6.3V,C1691
D2,LED-RGB-1.6x1.6,1,RGB,C264508
J1,JST_EH_S5B-EH_1x05_P2.50mm_Horizontal,1,1x5,C265103
J3,USB-PROG,1,USB-PROG,
L2,L_4x4_,1,10uH,
Q1,SOT-363_SC-70-6,1,BSS138PS,C2912548
"R1, R3",R_0402,2,10k,
R10,R_0402_,1,39k2,
R11,R_0402_,1,1M,
R12,R_0402,1,220R,
"R2, R8",R_0402,2,100R,
R5,R_0402,1,680R,
R6,R_0402,1,2K,
R9,R_0402_,1,124k,
U3,SOT-23-6-MD8942,1,MD8942,C2684786
U4,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
