Designator,Mid X,Mid Y,Rotation,Layer
C10,38.5,36.0,270.0,top
C2,35.0,32.5,0.0,top
C3,42.1,40.0,180.0,top
C4,42.1,42.5,180.0,top
C5,38.0,40.0,180.0,top
C6,34.9,46.0,180.0,top
C8,37.8,33.5,0.0,top
C9,37.8,38.5,180.0,top
D2,36.65,44.1,90.0,top
J1,44.6,39.0,270.0,top
J3,48.65,38.96,90.0,bottom
L2,41.1,36.0,270.0,top
PCB1,35.0,35.0,0.0,top
Q1,40.1,44.25,90.0,top
R1,40.1,39.0,0.0,top
R10,35.7,38.5,180.0,top
R11,35.7,33.5,180.0,top
R12,34.9,45.0,180.0,top
R2,42.1,39.0,0.0,top
R3,37.3,46.0,180.0,top
R5,34.9,44.1,180.0,top
R6,34.9,43.2,180.0,top
R8,42.1,41.5,0.0,top
R9,34.6,36.0,270.0,top
U3,36.5,36.0,90.0,top
U4,26.1,39.0,90.0,top
V1,35.0,46.7,0.0,bottom
V2,35.0,31.3,180.0,top
